LIBGEO,CODGEO,NBMENFISC,NBPERSMENFISC,MED,PIMP,TP60,TP60AGE1,TP60AGE2,TP60AGE3,TP60AGE4,TP60AGE5,TP60AGE6,TP60TOL1,TP60TOL2,PACT,PTSA,PCHO,PBEN,PPEN,PPAT,PPSOC,PPFAM,PPMINI,PPLOGT,PIMPOT,D1,D9,RD,lat,lng
Paris,001,5064161.67,12386964.0,22911.38,64.53,15.33,19.07,16.3,17.57,16.0,12.1,7.83,5.63,25.47,85.07,76.93,3.1,5.03,21.6,10.87,4.4,1.9,1.37,1.13,-21.93,10580.38,46401.56,4.38,48.8567,2.3522
Bordeaux,006,527937.0,1196274.67,21900.44,56.13,12.03,22.3,13.37,13.1,11.5,7.4,7.3,5.0,22.67,77.17,67.83,3.5,5.87,26.27,9.37,4.97,1.83,1.77,1.37,-17.77,11760.29,38424.44,3.28,44.84,-0.58
Marseille - Aix-en-Provence,003,734905.67,1705454.83,20635.56,53.13,18.63,27.37,21.7,21.97,19.23,12.73,10.6,6.5,32.37,73.6,63.93,3.6,6.03,27.8,10.37,6.57,2.2,2.53,1.8,-18.33,9878.33,38467.78,3.88,,
Lyon,002,939886.67,2231507.83,22157.6,58.2,12.87,19.67,14.57,15.0,12.37,8.07,6.7,5.0,24.47,77.97,70.13,3.2,4.67,24.4,10.53,5.17,2.3,1.5,1.33,-18.07,11502.95,40109.42,3.5,45.76,4.84
Toulouse,004,561315.67,1279804.83,22424.28,57.2,12.47,22.9,13.03,13.33,11.5,8.1,8.93,5.0,24.33,80.6,71.87,3.23,5.5,22.6,9.6,5.23,1.97,1.8,1.47,-18.03,11589.07,39787.93,3.43,43.6045,1.444
Nice,007,478264.0,1030252.0,21291.76,56.0,15.73,22.2,18.3,18.03,16.37,12.33,10.3,8.0,25.67,70.77,60.77,3.4,6.63,30.03,14.0,4.7,1.57,1.87,1.27,-19.5,10559.04,40329.89,3.83,43.7034,7.2663
Nantes,008,397382.33,927915.0,22069.4,55.9,10.1,18.0,10.87,11.07,9.63,5.87,6.17,5.0,23.23,79.0,70.9,3.2,4.9,24.13,8.83,5.1,2.23,1.53,1.3,-17.07,12465.73,37455.22,3.01,47.2181,-1.5528
Montpellier,015,252221.33,565014.17,20872.83,52.67,17.1,28.9,18.8,19.27,16.9,11.7,9.5,7.03,29.9,74.23,63.27,3.8,7.17,27.27,10.5,6.2,2.07,2.27,1.87,-18.2,10257.33,38742.14,3.76,43.6119,3.8772
Strasbourg (partie française),009,321401.0,742782.67,21707.74,57.03,14.5,23.2,18.67,17.43,13.13,8.63,6.17,5.0,26.6,75.8,67.57,3.03,5.2,26.73,10.23,5.17,2.0,1.73,1.47,-17.93,10977.33,38930.37,3.54,,
Lille (partie française),005,471068.33,1125299.5,20269.67,51.4,18.07,27.8,19.73,20.57,17.9,11.53,8.9,6.8,33.53,77.5,68.8,3.4,5.33,23.43,8.93,7.3,2.7,2.63,1.97,-17.17,10212.01,37832.33,3.71,,
Lillebonne,224,10660.67,25712.0,20438.67,52.07,13.3,20.53,15.23,16.67,12.7,7.97,,5.0,26.9,72.53,66.17,3.37,3.0,29.63,6.17,6.07,2.67,1.87,1.53,-14.4,11625.07,34470.61,2.98,49.5189,0.5343
Rennes,011,291742.67,685884.67,21713.5,54.73,10.6,22.33,11.97,10.97,9.07,5.6,6.13,5.0,24.57,79.07,70.97,2.9,5.2,23.93,8.73,5.3,2.33,1.57,1.37,-17.03,12273.84,36532.08,2.99,48.1147,-1.6794
Toulon,013,289746.67,627901.67,20963.89,53.03,15.13,23.43,18.93,18.43,15.97,10.87,8.47,6.57,26.87,64.2,54.43,3.3,6.43,35.93,11.97,5.4,1.7,2.2,1.47,-17.5,10790.39,37419.17,3.46,43.1258,5.9306
Reims,029,132833.67,300776.17,20837.22,53.97,15.47,28.27,19.07,17.2,14.13,8.23,6.7,5.0,27.37,75.13,64.57,2.97,7.6,26.67,9.87,6.07,2.3,2.03,1.77,-17.73,10771.32,38123.67,3.54,49.2628,4.0347
Le Havre,032,122452.0,281223.5,20476.69,52.13,15.3,27.4,19.23,17.33,14.27,8.87,7.07,5.0,29.43,71.5,63.53,3.47,4.5,29.67,7.47,7.07,2.5,2.67,1.93,-15.7,10865.82,35044.76,3.23,49.49,0.1
Dijon,025,161350.33,356959.5,21865.76,58.1,11.23,20.53,13.27,13.13,10.67,6.4,6.07,5.0,24.4,73.43,65.2,2.67,5.6,30.03,9.3,4.63,1.9,1.47,1.27,-17.4,12050.98,37351.78,3.11,47.3167,5.0167
Grenoble,010,287832.0,665115.33,22560.5,58.7,11.4,21.23,13.3,13.1,10.53,6.8,6.67,5.0,24.23,75.27,67.83,2.9,4.53,26.87,10.7,4.67,2.0,1.43,1.27,-17.5,11975.19,39582.32,3.31,45.1715,5.7224
Angers,023,171058.0,397503.0,20762.56,50.27,12.13,22.57,14.6,13.77,11.67,6.27,5.77,5.0,25.9,72.4,63.83,3.2,5.37,28.73,8.57,5.9,2.53,1.77,1.6,-15.6,11759.56,35189.87,3.0,47.4736,-0.5542
Clermont-Ferrand,019,209801.33,458888.5,21786.38,55.83,11.9,23.23,13.8,13.4,11.17,7.0,7.13,5.0,25.9,72.47,64.93,2.67,4.83,29.53,10.17,4.83,1.83,1.63,1.37,-17.0,11784.33,37558.65,3.2,45.7831,3.0824
Le Mans,028,147520.33,339977.33,20687.11,51.87,13.43,23.87,16.4,16.27,13.03,6.87,5.53,5.0,31.37,70.63,63.4,2.9,4.37,31.07,8.07,5.87,2.5,1.77,1.57,-15.63,11316.11,33923.59,3.01,48.0077,0.1984
Brest,030,137401.67,305366.67,21226.4,52.8,10.73,22.5,12.6,11.7,9.83,5.73,6.43,5.0,26.6,71.83,63.13,3.17,5.53,30.77,8.17,5.47,2.23,1.77,1.47,-16.23,12231.85,35290.0,2.9,48.39,-4.49
Tours,018,214710.67,480565.0,21213.53,53.97,12.5,23.47,14.97,14.2,11.87,7.2,6.4,5.0,26.5,72.27,64.57,3.0,4.67,30.07,9.1,5.23,2.1,1.73,1.43,-16.67,11625.58,36546.71,3.13,47.3936,0.6892
